filename,emr_dissim,mse_rgb,max_p99,mse_red,mse_hsv_V,mse_hsv_H
B22-83\01063.png,0.041892946,23.016922,144.0,20.983734,0.00023018487,0.0010054554
B22-83\01076.png,0.04334736,25.741491,169.0,23.088318,0.00027812482,0.0011557401
B22-84\00099.png,0.018059552,14.425903,49.0,14.770569,9.990921e-05,0.0009454433
B22-84\00099_Aug1.png,0.018057585,14.422872,49.0,14.762665,9.9943936e-05,0.00094534375
B22-84\00099_Aug2.png,0.018555403,14.397125,49.0,14.752319,9.874764e-05,0.0009416918
B22-84\00099_Aug3.png,0.018069446,14.424077,49.0,14.768097,0.00010002115,0.0009443257
B22-84\00099_Aug4.png,0.018940747,14.295955,49.0,14.549438,9.9292054e-05,0.000856675
B22-84\00099_Aug5.png,0.019017398,16.175095,49.0,17.476776,0.00010877773,0.0009792586
B22-84\00099_Aug6.png,0.019409478,14.227473,49.0,14.430283,9.757152e-05,0.00087376236
B22-84\00099_Aug7.png,0.019246817,16.182999,49.0,17.484604,0.00010869419,0.0009781854
B22-84\00099_Aug8.png,0.019005358,14.04038,49.0,14.225983,9.52329e-05,0.00054432
B22-84\00220.png,0.017068446,13.361379,49.0,13.672958,8.657675e-05,0.00019519441
B22-84\00582.png,0.01899904,14.244995,49.0,14.77858,9.7334516e-05,0.0004888292
B22-84\00582_Aug1.png,0.019168377,14.338267,49.0,14.7191925,9.978414e-05,0.00067971274
B22-84\00582_Aug2.png,0.018895328,14.343837,49.0,14.946808,0.00010071363,0.00049465516
B22-84\00582_Aug3.png,0.019513905,14.438954,49.0,14.881546,0.00010040059,0.0009792354
B22-84\00582_Aug4.png,0.018437684,14.035838,49.0,14.434357,9.434424e-05,0.0003278128
B22-84\00582_Aug5.png,0.019090474,14.564667,49.0,14.944092,0.00010325547,0.0010925946
B22-84\00582_Aug6.png,0.019104779,13.900604,49.0,14.112152,9.385498e-05,0.00035252102
B22-84\00582_Aug7.png,0.01934594,14.573436,49.0,14.905365,0.00010145703,0.001398022
B22-84\00582_Aug8.png,0.019165576,14.008794,49.0,14.2569275,9.468262e-05,0.00046518442
B22-84\00627.png,0.022477627,17.312546,121.0,17.35727,0.00014904873,0.00812804
B22-84\00627_Aug1.png,0.022445142,17.047388,100.0,16.910477,0.00014441513,0.007266314
B22-84\00627_Aug2.png,0.022768497,17.882132,121.0,17.979294,0.00015881834,0.009185662
B22-84\00627_Aug3.png,0.021695197,16.370117,81.0,16.227737,0.00012895968,0.0053830324
B22-84\00627_Aug4.png,0.022854984,18.213928,121.0,18.157562,0.00016317316,0.009400632
B22-84\00627_Aug5.png,0.021181762,15.446091,64.0,15.546783,0.000116797484,0.0029985765
B22-84\00627_Aug6.png,0.022641003,17.780258,121.0,17.74617,0.00015688919,0.008649036
B22-84\00627_Aug7.png,0.020711958,15.236293,64.0,15.480606,0.00011500421,0.0024415206
B22-84\00627_Aug8.png,0.022668779,17.56571,121.0,17.381012,0.00015408876,0.008962127
B22-84\00739.png,0.01815635,15.4711,64.0,15.9665985,0.00012292188,0.006216352
B22-84\00739_Aug1.png,0.018441498,15.743352,81.0,16.243713,0.00012394406,0.007091287
B22-84\00739_Aug2.png,0.017981708,15.695358,81.0,16.069916,0.000121443285,0.007107746
B22-84\00739_Aug3.png,0.019008815,15.804957,81.0,16.431015,0.00012730816,0.007152642
B22-84\00739_Aug4.png,0.018194377,15.657806,81.0,16.05217,0.0001207027,0.0072652968
B22-84\00739_Aug5.png,0.01873976,15.91804,81.0,16.439606,0.0001283627,0.00700497
B22-84\00739_Aug6.png,0.018539608,15.846313,81.0,16.24054,0.00012152236,0.0070624193
