fold,best_threshold,best_tpr,best_fpr,youden_J
1,0.0104396268725395,0.8823529411764706,0.08108108108108109,0.8012718600953894
2,0.0099682314321398,0.8680555555555556,0.15217391304347827,0.7158816425120773
3,0.0044653848744928,0.9867549668874173,0.28205128205128205,0.7047036848361352
4,0.0069685266353189,0.972027972027972,0.13043478260869565,0.8415931894192763
5,0.0095791444182395,0.8467153284671532,0.17307692307692307,0.6736384053902302
6,0.0087634110823273,0.9071428571428571,0.08163265306122448,0.8255102040816327
7,0.0060475040227174,0.9726027397260274,0.3023255813953488,0.6702771583306786
8,0.005228136666119,0.9714285714285714,0.32653061224489793,0.6448979591836734
9,0.0042140749283134,0.9797297297297297,0.1951219512195122,0.7846077785102175
10,0.0066917203366756,0.959731543624161,0.25,0.709731543624161
