fold,threshold,TN,FP,FN,TP,accuracy,sensitivity_pos_class1,specificity_neg_class-1,balanced_accuracy
1,0.3602941176470588,74,3,14,64,0.8903225806451613,0.8205128205128205,0.961038961038961,0.8907758907758907
2,0.2835249042145594,64,13,5,73,0.8838709677419355,0.9358974358974359,0.8311688311688312,0.8835331335331336
3,0.2546652030735455,59,18,3,75,0.864516129032258,0.9615384615384616,0.7662337662337663,0.8638861138861139
4,0.2425742574257425,56,21,3,75,0.8451612903225807,0.9615384615384616,0.7272727272727273,0.8444055944055944
5,0.3340380549682875,73,4,12,66,0.896774193548387,0.8461538461538461,0.948051948051948,0.8971028971028971
6,0.3392,73,4,13,65,0.8903225806451613,0.8333333333333334,0.948051948051948,0.8906926406926408
7,0.3372093023255814,73,4,12,66,0.896774193548387,0.8461538461538461,0.948051948051948,0.8971028971028971
8,0.2803347280334728,64,13,4,74,0.8903225806451613,0.9487179487179487,0.8311688311688312,0.88994338994339
9,0.3108108108108108,68,9,10,68,0.8774193548387097,0.8717948717948718,0.8831168831168831,0.8774558774558774
10,0.2924528301886792,66,11,6,72,0.8903225806451613,0.9230769230769231,0.8571428571428571,0.8901098901098901
